,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
66,1,350,0.004996204376220703,0.0006318069242039308,0.001199054718017578,0.00039932757350909107,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.8840579710144928,0.9420289855072463,0.8985507246376812,0.9334989648033126,0.03637543876904873,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
59,1,350,0.00440363883972168,0.0004977370384499198,0.0014055252075195312,0.0008045496953091432,1,,linear,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.9714285714285714,0.9714285714285714,0.8840579710144928,0.9420289855072463,0.8985507246376812,0.9334989648033126,0.03637543876904873,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
54,1,350,0.006395912170410157,0.0007994894247918892,0.0019989967346191405,1.4032305688440477e-06,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.9714285714285714,0.9714285714285714,0.8695652173913043,0.9420289855072463,0.8840579710144928,0.9277018633540374,0.04316010975334964,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
47,0,100,0.003124856948852539,0.006249713897705078,0.0,0.0,1000,4,sigmoid,0.0001,"{'C': 1000, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
44,0,100,0.0,0.0,0.0031247615814208986,0.006249523162841797,1000,3,sigmoid,0.0001,"{'C': 1000, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
41,0,100,0.003124856948852539,0.006249713897705078,0.0,0.0,100,4,sigmoid,0.0001,"{'C': 100, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
38,0,100,0.0,0.0,0.003124856948852539,0.006249713897705078,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,0,100,0.0011989593505859375,0.002397918701171875,0.00020003318786621094,0.0004000663757324219,1,3,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,0,100,0.003124713897705078,0.006249427795410156,0.0,0.0,100,,linear,0.001,"{'C': 100, 'gamma': 0.001, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,0,100,0.002998065948486328,0.0012635376868427247,0.000599527359008789,0.0004895122478239711,1,,linear,0.0001,"{'C': 1, 'gamma': 0.0001, 'kernel': 'linear'}",0.7,0.85,1.0,0.9473684210526315,0.8947368421052632,0.8784210526315789,0.10241407451751824,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
