,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
11,0.0,0.0,0.0,0.0,1000,5,linear,,"{'C': 1000, 'degree': 5, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9583333333333334,0.03726779962499651,20
10,0.0031247615814208986,0.006249523162841797,0.0,0.0,1000,4,linear,,"{'C': 1000, 'degree': 4, 'kernel': 'linear'}",0.9166666666666666,0.9583333333333334,1.0,1.0,0.9166666666666666,0.9583333333333334,0.03726779962499651,20
22,0.0031244754791259766,0.006248950958251953,0.0,0.0,100,,rbf,0.0001,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.875,1.0,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9333333333333333,0.042491829279939886,28
16,0.003124713897705078,0.006249427795410156,0.0,0.0,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.875,1.0,0.9166666666666666,0.9583333333333334,0.9166666666666666,0.9333333333333333,0.042491829279939886,28
51,0.001998424530029297,2.611744678045111e-07,0.0009998321533203126,2.86102294921875e-07,1,,,10,"{'C': 1, 'gamma': 10}",0.9166666666666666,0.875,1.0,1.0,0.875,0.9333333333333332,0.056519416526043906,30
30,0.0031246185302734376,0.006249237060546876,0.0,0.0,10,3,sigmoid,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.9166666666666666,0.875,0.9583333333333334,0.875,0.9166666666666666,0.9083333333333334,0.031180478223116186,31
33,0.0,0.0,0.0,0.0,10,4,sigmoid,0.01,"{'C': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.9166666666666666,0.875,0.9583333333333334,0.875,0.9166666666666666,0.9083333333333334,0.031180478223116186,31
31,0.0,0.0,0.0,0.0,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.875,0.9166666666666666,0.875,0.875,0.9166666666666666,0.8916666666666666,0.020412414523193135,33
34,0.0,0.0,0.0031246662139892576,0.006249332427978514,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.875,0.9166666666666666,0.875,0.875,0.9166666666666666,0.8916666666666666,0.020412414523193135,33
38,0.0,0.0,0.0,0.0,100,3,sigmoid,0.0001,"{'C': 100, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.875,0.9166666666666666,0.875,0.875,0.9166666666666666,0.8916666666666666,0.020412414523193135,33
41,0.0,0.0,0.0,0.0,100,4,sigmoid,0.0001,"{'C': 100, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.875,0.9166666666666666,0.875,0.875,0.9166666666666666,0.8916666666666666,0.020412414523193135,33
36,0.0,0.0,0.0,0.0,100,3,sigmoid,0.01,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.875,0.7916666666666666,0.875,0.875,0.8333333333333334,0.85,0.03333333333333334,37
39,0.0031246662139892576,0.006249332427978514,0.0,0.0,100,4,sigmoid,0.01,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.875,0.7916666666666666,0.875,0.875,0.8333333333333334,0.85,0.03333333333333334,37
45,0.0,0.0,0.0,0.0,1000,4,sigmoid,0.01,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.8333333333333334,0.7916666666666666,0.7916666666666666,0.875,0.75,0.8083333333333332,0.042491829279939886,39
